TRIPLET,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,,,,,,,,,,,,,,,,,,,,
QUAD,113,114,170,115,116,117,118,119,120,121,122,123,101,102,103,522,523,105,531,532,533,536,537,538,106,107,108,503,504,505,540,541,542,545,546,547,,,,,,,,,,,,,,,,,,,,
FUCUS%TOTAL,20,85,30,70,45,85,50,40,20,12,20,20,70,65,99,25,1,1,10,20,30,35,70,60,75,100,90,15,60,60,65,55,5,95,30,95,,,,,,,,,,,,,,,,,,,,
FUCUS#ADULTS,29,85,28,48,27,58,61,19,18,13,13,20,33,30,50,20,3,6,15,25,22,40,65,35,60,63,35,27,55,65,78,95,30,48,18,63,,,,,,,,,,,,,,,,,,,,
FUCUS SPORELINGS%,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,
FUCUS SPORELINGS#,10-100,10-100,10-100,10-100,0-10,0-10,10-100,10-100,0-10,10-100,10-100,10-100,10-100,10-100,0-10,0-10,0-10,0-10,10-100,10-100,0-10,10-100,10-100,10-100,10-100,0-10,10-100,0-10,10-100,0-10,100-1000,10-100,10-100,0-10,10-100,0-10,,,,,,,,,,,,,,,,,,,,
Ulva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Cryptosiphonia,0,0,0,0,0.5,0,0.5,2,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
Ralfsia/Hild,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,2,0,0.5,0,0,0,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,
Endocladia,5,1,25,0.5,0.5,0,0.5,10,0.5,5,1,2,0.5,0,0,5,5,5,0,0,0,5,1,1,0,0,0,2,1,0,0.5,0.5,0.5,1,0,0,,,,,,,,,,,,,,,,,,,,
Odonthalia,15,0,5,10,5,1,3,1,0.5,10,1,10,0,10,3,1,1,10,12,5,5,10,10,3,5,0,15,0,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,,,
Pterosiphonia,1,0,0,15,10,10,5,10,2,10,0.5,15,0,10,5,5,7,15,15,20,8,15,8,15,5,0.5,2,0,0,0,0,0,0,0,25,15,,,,,,,,,,,,,,,,,,,,
Gloiopeltis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Enteromorpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Clad sericia,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,1,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Soranthera,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,,,,,,,,,,,,,,,,,,,,
Masto pap,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Petrocelia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Polysiphonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Myelophycus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Elachista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Halosaccion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
